PERSON_ID,FIRST_NAME,LAST_NAME,DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FI_LAST,PLAYER_SLUG,BIRTHDATE,SCHOOL,COUNTRY,LAST_AFFILIATION,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,ROSTERSTATUS,GAMES_PLAYED_CURRENT_SEASON_FLAG,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_CITY,PLAYERCODE,FROM_YEAR,TO_YEAR,DLEAGUE_FLAG,NBA_FLAG,GAMES_PLAYED_FLAG,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GREATEST_75_FLAG
77142,Magic,Johnson,Magic Johnson,"Johnson, Magic",M. Johnson,magic-johnson,1959-08-14T00:00:00,Michigan State,USA,Michigan State/USA,6-9,220.0,13,32.0,Forward-Guard,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,HISTADD_magic_johnson,1979.0,1995.0,N,Y,Y,1979,1,1,Y
76881,David,Greenwood,David Greenwood,"Greenwood, David",D. Greenwood,david-greenwood,1957-05-27T00:00:00,UCLA,USA,UCLA/USA,6-9,222.0,12,33.0,Forward,Inactive,N,1610612741,Bulls,CHI,bulls,Chicago,HISTADD_david_greenwood,1979.0,1990.0,N,Y,Y,1979,1,2,N
76362,Bill,Cartwright,Bill Cartwright,"Cartwright, Bill",B. Cartwright,bill-cartwright,1957-07-30T00:00:00,San Francisco,USA,San Francisco/USA,7-1,245.0,15,24.0,Center,Inactive,N,1610612752,Knicks,NYK,knicks,New York,HISTADD_bill_cartwright,1979.0,1994.0,N,Y,Y,1979,1,3,N
77239,Greg,Kelser,Greg Kelser,"Kelser, Greg",G. Kelser,greg-kelser,1957-09-17T00:00:00,Michigan State,USA,Michigan State/USA,6-7,190.0,6,11.0,Forward,Inactive,N,1610612760,SuperSonics,SEA,thunder,Seattle,HISTADD_greg_kelser,1979.0,1984.0,N,Y,Y,1979,1,4,N
77626,Sidney,Moncrief,Sidney Moncrief,"Moncrief, Sidney",S. Moncrief,sidney-moncrief,1957-09-21T00:00:00,Arkansas,USA,Arkansas/USA,6-4,180.0,11,4.0,Guard,Inactive,N,1610612749,Bucks,MIL,bucks,Milwaukee,HISTADD_sidney_moncrief,1979.0,1990.0,N,Y,Y,1979,1,5,N
76085,James,Bailey,James Bailey,"Bailey, James",J. Bailey,james-bailey,1957-05-21T00:00:00,Rutgers,USA,Rutgers/USA,6-9,220.0,9,2.0,Forward,Inactive,N,1610612760,SuperSonics,SEA,thunder,Seattle,HISTADD_james_bailey,1979.0,1987.0,N,Y,Y,1979,1,6,N
77167,Vinnie,Johnson,Vinnie Johnson,"Johnson, Vinnie",V. Johnson,vinnie-johnson,1956-09-01T00:00:00,Baylor,USA,Baylor/USA,6-2,200.0,13,15.0,Guard,Inactive,N,1610612765,Pistons,DET,pistons,Detroit,HISTADD_vinnie_johnson,1979.0,1991.0,N,Y,Y,1979,1,7,N
77691,Calvin,Natt,Calvin Natt,"Natt, Calvin",C. Natt,calvin-natt,1957-01-08T00:00:00,Louisiana-Monroe,USA,Louisiana-Monroe/USA,6-6,220.0,11,42.0,Forward,Inactive,N,1610612757,Trail Blazers,POR,blazers,Portland,HISTADD_calvin_natt,1979.0,1989.0,N,Y,Y,1979,1,8,N
76553,Larry,Demic,Larry Demic,"Demic, Larry",L. Demic,larry-demic,1957-06-27T00:00:00,Arizona,USA,Arizona/USA,6-9,225.0,3,42.0,Forward,Inactive,N,1610612752,Knicks,NYK,knicks,New York,HISTADD_larry_demic,1979.0,1981.0,N,Y,Y,1979,1,9,N
76928,Roylee,Hamilton,Roylee Hamilton,"Hamilton, Roylee",R. Hamilton,roylee-hamilton,1957-07-20T00:00:00,UCLA,USA,UCLA/USA,6-2,180.0,2,23.0,Guard,Inactive,N,1610612765,Pistons,DET,pistons,Detroit,HISTADD_roy_hamilton,1979.0,1980.0,N,Y,Y,1979,1,10,N
76353,Joe Barry,Carroll,Joe Barry Carroll,"Carroll, Joe Barry",J. Carroll,joe-barry-carroll,1958-07-24T00:00:00,Purdue,USA,Purdue/USA,7-0,225.0,10,2.0,Center,Inactive,N,1610612744,Warriors,GOS,warriors,Golden State,HISTADD_joe_barry_carroll,1980.0,1990.0,N,Y,Y,1980,1,1,N
76890,Darrell,Griffith,Darrell Griffith,"Griffith, Darrell",D. Griffith,darrell-griffith,1958-06-16T00:00:00,Louisville,USA,Louisville/USA,6-4,190.0,10,35.0,Guard,Inactive,N,1610612762,Jazz,UTA,jazz,Utah,HISTADD_darrell_griffith,1980.0,1990.0,N,Y,Y,1980,1,2,N
1450,Kevin,McHale,Kevin McHale,"McHale, Kevin",K. McHale,kevin-mchale,1957-12-19T00:00:00,Minnesota,USA,Minnesota/USA,6-10,210.0,13,32.0,Forward,Inactive,N,1610612738,Celtics,BOS,celtics,Boston,kevin_mchale,1980.0,1992.0,N,Y,Y,1980,1,3,Y
77911,Kelvin,Ransey,Kelvin Ransey,"Ransey, Kelvin",K. Ransey,kelvin-ransey,1958-05-03T00:00:00,Ohio State,USA,Ohio State/USA,6-2,170.0,6,14.0,Guard,Inactive,N,1610612751,Nets,NJN,nets,New Jersey,HISTADD_kelvin_ransey,1980.0,1985.0,N,Y,Y,1980,1,4,N
77920,Jamesearl,Ray,Jamesearl Ray,"Ray, Jamesearl",J. Ray,jamesearl-ray,1957-07-27T00:00:00,Jacksonville,USA,Jacksonville/USA,6-8,215.0,3,43.0,Forward,Inactive,N,1610612743,Nuggets,DEN,nuggets,Denver,HISTADD_james_earl_ray,1980.0,1982.0,N,Y,Y,1980,1,5,N
77754,Mike,O'Koren,Mike O'Koren,"O'Koren, Mike",M. O'Koren,mike-okoren,1958-02-07T00:00:00,North Carolina,USA,North Carolina/USA,6-7,207.0,8,31.0,Forward,Inactive,N,1610612751,Nets,NJN,nets,New Jersey,HISTADD_mike_okoren,1980.0,1987.0,N,Y,Y,1980,1,6,N
76826,Mike,Gminski,Mike Gminski,"Gminski, Mike",M. Gminski,mike-gminski,1959-08-03T00:00:00,Duke,USA,Duke/USA,6-11,250.0,14,43.0,Center,Inactive,N,1610612751,Nets,NJN,nets,New Jersey,HISTADD_mike_gminski,1980.0,1993.0,N,Y,Y,1980,1,7,N
78351,Andrew,Toney,Andrew Toney,"Toney, Andrew",A. Toney,andrew-toney,1957-11-23T00:00:00,Louisiana-Lafayette,USA,Louisiana-Lafayette/USA,6-3,178.0,8,22.0,Guard,Inactive,N,1610612755,76ers,PHI,sixers,Philadelphia,HISTADD_andrew_toney,1980.0,1987.0,N,Y,Y,1980,1,8,N
76266,Michael,Brooks,Michael Brooks,"Brooks, Michael",M. Brooks,michael-brooks,1958-08-17T00:00:00,La Salle,USA,La Salle/USA,6-7,220.0,6,35.0,Forward,Inactive,N,1610612746,Clippers,SDC,clippers,San Diego,HISTADD_michael_brooks,1980.0,1987.0,N,Y,Y,1980,1,9,N
77373,Ronnie,Lester,Ronnie Lester,"Lester, Ronnie",R. Lester,ronnie-lester,1959-01-01T00:00:00,Iowa,USA,Iowa/USA,6-2,175.0,6,12.0,Guard,Inactive,N,1610612741,Bulls,CHI,bulls,Chicago,HISTADD_ronnie_lester,1980.0,1985.0,N,Y,Y,1980,1,10,N
76016,Mark,Aguirre,Mark Aguirre,"Aguirre, Mark",M. Aguirre,mark-aguirre,1959-12-10T00:00:00,DePaul,USA,DePaul/USA,6-6,232.0,13,7.0,Forward,Inactive,N,1610612742,Mavericks,DAL,mavericks,Dallas,HISTADD_mark_aguirre,1981.0,1993.0,N,Y,Y,1981,1,1,N
78318,Isiah,Thomas,Isiah Thomas,"Thomas, Isiah",I. Thomas,isiah-thomas,1961-04-30T00:00:00,Indiana,USA,Indiana/USA,6-1,180.0,13,11.0,Guard,Inactive,N,1610612765,Pistons,DET,pistons,Detroit,HISTADD_isiah_thomas,1981.0,1993.0,N,Y,Y,1981,1,2,Y
433,Buck,Williams,Buck Williams,"Williams, Buck",B. Williams,buck-williams,1960-03-08T00:00:00,Maryland,USA,Maryland/USA,6-8,225.0,17,52.0,Forward,Inactive,N,1610612751,Nets,NJN,nets,New Jersey,buck_williams,1981.0,1997.0,N,Y,Y,1981,1,3,N
78610,Al,Wood,Al Wood,"Wood, Al",A. Wood,al-wood,1958-06-02T00:00:00,North Carolina,USA,North Carolina/USA,6-6,193.0,6,4.0,Guard,Inactive,N,1610612760,SuperSonics,SEA,thunder,Seattle,HISTADD_al_wood,1981.0,1986.0,N,Y,Y,1981,1,4,N
78423,Danny,Vranes,Danny Vranes,"Vranes, Danny",D. Vranes,danny-vranes,1958-10-29T00:00:00,Utah,USA,Utah/USA,6-7,210.0,7,20.0,Forward,Inactive,N,1610612760,SuperSonics,SEA,thunder,Seattle,HISTADD_danny_vranes,1981.0,1987.0,N,Y,Y,1981,1,5,N
78615,Orlando,Woolridge,Orlando Woolridge,"Woolridge, Orlando",O. Woolridge,orlando-woolridge,1959-12-16T00:00:00,Notre Dame,USA,Notre Dame/USA,6-9,215.0,13,0.0,Forward,Inactive,N,1610612741,Bulls,CHI,bulls,Chicago,HISTADD_orlando_woolridge,1981.0,1993.0,N,Y,Y,1981,1,6,N
77134,Steve,Johnson,Steve Johnson,"Johnson, Steve",S. Johnson,steve-johnson,1957-11-03T00:00:00,Oregon State,USA,Oregon State/USA,6-10,235.0,10,33.0,Center,Inactive,N,1610612758,Kings,KCK,kings,Kansas City,HISTADD_steve_johnson,1981.0,1990.0,N,Y,Y,1981,1,7,N
1472,Tom,Chambers,Tom Chambers,"Chambers, Tom",T. Chambers,tom-chambers,1959-06-21T00:00:00,Utah,USA,Utah/USA,6-10,220.0,16,24.0,Forward,Inactive,N,0,,,,,tom_chambers,1981.0,1997.0,N,Y,Y,1981,1,8,N
76176,Rolando,Blackman,Rolando Blackman,"Blackman, Rolando",R. Blackman,rolando-blackman,1959-02-26T00:00:00,Kansas State,USA,Kansas State/USA,6-6,190.0,13,22.0,Guard,Inactive,N,1610612742,Mavericks,DAL,mavericks,Dallas,HISTADD_rolando_blackman,1981.0,1993.0,N,Y,Y,1981,1,9,N
77263,Albert,King,Albert King,"King, Albert",A. King,albert-king,1959-12-17T00:00:00,Maryland,USA,Maryland/USA,6-6,190.0,9,15.0,Forward,Inactive,N,1610612751,Nets,NJN,nets,New Jersey,HISTADD_albert_king,1981.0,1991.0,N,Y,Y,1981,1,10,N
1460,James,Worthy,James Worthy,"Worthy, James",J. Worthy,james-worthy,1961-02-27T00:00:00,North Carolina,USA,North Carolina/USA,6-9,225.0,12,42.0,Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,james_worthy,1982.0,1993.0,N,Y,Y,1982,1,1,Y
187,Terry,Cummings,Terry Cummings,"Cummings, Terry",T. Cummings,terry-cummings,1961-03-15T00:00:00,DePaul,USA,DePaul/USA,6-9,220.0,18,,Forward,Inactive,N,0,,,,,terry_cummings,1982.0,1999.0,N,Y,Y,1982,1,2,N
1122,Dominique,Wilkins,Dominique Wilkins,"Wilkins, Dominique",D. Wilkins,dominique-wilkins,1960-01-12T00:00:00,Georgia,USA,Georgia/USA,6-8,230.0,15,21.0,Forward,Inactive,N,1610612737,Hawks,ATL,hawks,Atlanta,dominique_wilkins,1982.0,1998.0,N,Y,Y,1982,1,3,Y
76785,Bill,Garnett,Bill Garnett,"Garnett, Bill",B. Garnett,bill-garnett,1960-04-22T00:00:00,Wyoming,USA,Wyoming/USA,6-9,225.0,4,20.0,Forward,Inactive,N,1610612742,Mavericks,DAL,mavericks,Dallas,HISTADD_bill_garnett,1982.0,1985.0,N,Y,Y,1982,1,4,N
78,LaSalle,Thompson,LaSalle Thompson,"Thompson, LaSalle",L. Thompson,lasalle-thompson,1961-06-23T00:00:00,Texas,USA,Texas/USA,6-10,245.0,15,,Center,Inactive,N,0,,,,,lasalle_thompson,1982.0,1996.0,N,Y,Y,1982,1,5,N
78375,Trent,Tucker,Trent Tucker,"Tucker, Trent",T. Tucker,trent-tucker,1959-12-20T00:00:00,Minnesota,USA,Minnesota/USA,6-5,193.0,11,6.0,Guard,Inactive,N,1610612752,Knicks,NYK,knicks,New York,HISTADD_trent_tucker,1982.0,1992.0,N,Y,Y,1982,1,6,N
76497,Quintin,Dailey,Quintin Dailey,"Dailey, Quintin",Q. Dailey,quintin-dailey,1961-01-22T00:00:00,San Francisco,USA,San Francisco/USA,6-3,180.0,10,20.0,Guard,Inactive,N,1610612741,Bulls,CHI,bulls,Chicago,HISTADD_quintin_dailey,1982.0,1991.0,N,Y,Y,1982,1,7,N
77236,Clark,Kellogg,Clark Kellogg,"Kellogg, Clark",C. Kellogg,clark-kellogg,1961-07-02T00:00:00,Ohio State,USA,Ohio State/USA,6-7,225.0,5,33.0,Forward,Inactive,N,1610612754,Pacers,IND,pacers,Indiana,HISTADD_clark_kellogg,1982.0,1986.0,N,Y,Y,1982,1,8,N
77377,Cliff,Levingston,Cliff Levingston,"Levingston, Cliff",C. Levingston,cliff-levingston,1961-01-04T00:00:00,Wichita State,USA,Wichita State/USA,6-8,210.0,11,53.0,Forward,Inactive,N,1610612737,Hawks,ATL,hawks,Atlanta,HISTADD_cliff_levingston,1982.0,1994.0,N,Y,Y,1982,1,9,N
76638,Keith,Edmonson,Keith Edmonson,"Edmonson, Keith",K. Edmonson,keith-edmonson,1960-09-28T00:00:00,Purdue,USA,Purdue/USA,6-5,195.0,2,10.0,Guard,Inactive,N,1610612759,Spurs,SAS,spurs,San Antonio,HISTADD_keith_edmonson,1982.0,1983.0,N,Y,Y,1982,1,10,N
78055,Ralph,Sampson,Ralph Sampson,"Sampson, Ralph",R. Sampson,ralph-sampson,1960-07-07T00:00:00,Virginia,USA,Virginia/USA,7-4,228.0,9,50.0,Center,Inactive,N,1610612745,Rockets,HOU,rockets,Houston,HISTADD_ralph_sampson,1983.0,1991.0,N,Y,Y,1983,1,1,N
78257,Steve,Stipanovich,Steve Stipanovich,"Stipanovich, Steve",S. Stipanovich,steve-stipanovich,1960-11-17T00:00:00,Missouri,USA,Missouri/USA,6-11,245.0,5,40.0,Center,Inactive,N,1610612754,Pacers,IND,pacers,Indiana,HISTADD_steve_stipanovich,1983.0,1987.0,N,Y,Y,1983,1,2,N
1622,Rodney,McCray,Rodney McCray,"McCray, Rodney",R. McCray,rodney-mccray,1961-08-29T00:00:00,Louisville,USA,Louisville/USA,6-8,220.0,10,22.0,Forward,Inactive,N,1610612745,Rockets,HOU,rockets,Houston,rodney_mccray,1983.0,1992.0,N,Y,Y,1983,1,3,N
2,Byron,Scott,Byron Scott,"Scott, Byron",B. Scott,byron-scott,1961-03-28T00:00:00,Arizona State,USA,Arizona State/USA,6-4,205.0,14,,Guard,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,byron_scott,1983.0,1996.0,N,Y,Y,1983,1,4,N
76876,Sidney,Green,Sidney Green,"Green, Sidney",S. Green,sidney-green,1961-01-04T00:00:00,UNLV,USA,UNLV/USA,6-9,220.0,10,21.0,Forward,Inactive,N,1610612741,Bulls,CHI,bulls,Chicago,HISTADD_sidney_green,1983.0,1992.0,N,Y,Y,1983,1,5,N
76478,Russell,Cross,Russell Cross,"Cross, Russell",R. Cross,russell-cross,1961-09-05T00:00:00,Purdue,USA,Purdue/USA,6-10,215.0,1,40.0,Center,Inactive,N,1610612744,Warriors,GOS,warriors,Golden State,HISTADD_russell_cross,1983.0,1983.0,N,Y,Y,1983,1,6,N
1847,Thurl,Bailey,Thurl Bailey,"Bailey, Thurl",T. Bailey,thurl-bailey,1961-04-07T00:00:00,North Carolina State,USA,North Carolina State/USA,6-11,247.0,12,41.0,Forward,Inactive,N,1610612762,Jazz,UTA,jazz,Utah,thurl_bailey,1983.0,1998.0,N,Y,Y,1983,1,7,N
156,Antoine,Carr,Antoine Carr,"Carr, Antoine",A. Carr,antoine-carr,1961-07-23T00:00:00,Wichita State,USA,Wichita State/USA,6-9,225.0,16,,Forward,Inactive,N,0,,,,,antoine_carr,1984.0,1999.0,N,Y,Y,1983,1,8,N
107,Dale,Ellis,Dale Ellis,"Ellis, Dale",D. Ellis,dale-ellis,1960-08-06T00:00:00,Tennessee,USA,Tennessee/USA,6-7,205.0,17,,Guard,Inactive,N,0,,,,,dale_ellis,1983.0,1999.0,N,Y,Y,1983,1,9,N
117,Jeff,Malone,Jeff Malone,"Malone, Jeff",J. Malone,jeff-malone,1961-06-28T00:00:00,Mississippi State,USA,Mississippi State/USA,6-4,205.0,13,,Guard,Inactive,N,0,,,,,jeff_malone,1983.0,1995.0,N,Y,Y,1983,1,10,N
165,Hakeem,Olajuwon,Hakeem Olajuwon,"Olajuwon, Hakeem",H. Olajuwon,hakeem-olajuwon,1963-01-21T00:00:00,Houston,Nigeria,Houston/Nigeria,7-0,255.0,19,34.0,Center,Inactive,N,1610612745,Rockets,HOU,rockets,Houston,hakeem_olajuwon,1984.0,2002.0,N,Y,Y,1984,1,1,Y
76217,Sam,Bowie,Sam Bowie,"Bowie, Sam",S. Bowie,sam-bowie,1961-03-17T00:00:00,Kentucky,USA,Kentucky/USA,7-1,235.0,10,31.0,Center,Inactive,N,1610612751,Nets,NJN,nets,New Jersey,HISTADD_sam_bowie,1984.0,1994.0,N,Y,Y,1984,1,2,N
893,Michael,Jordan,Michael Jordan,"Jordan, Michael",M. Jordan,michael-jordan,1963-02-17T00:00:00,North Carolina,USA,North Carolina/USA,6-6,216.0,15,23.0,Guard,Inactive,N,1610612741,Bulls,CHI,bulls,Chicago,michael_jordan,1984.0,2002.0,N,Y,Y,1984,1,3,Y
64,Sam,Perkins,Sam Perkins,"Perkins, Sam",S. Perkins,sam-perkins,1961-06-14T00:00:00,North Carolina,USA,North Carolina/USA,6-9,260.0,17,14.0,Center-Forward,Inactive,N,1610612742,Mavericks,DAL,mavericks,Dallas,sam_perkins,1984.0,2000.0,N,Y,Y,1984,1,4,N
787,Charles,Barkley,Charles Barkley,"Barkley, Charles",C. Barkley,charles-barkley,1963-02-20T00:00:00,Auburn,USA,Auburn/USA,6-6,252.0,16,34.0,Forward,Inactive,N,1610612755,76ers,PHI,sixers,Philadelphia,charles_barkley,1984.0,1999.0,N,Y,Y,1984,1,5,Y
78386,Mel,Turpin,Mel Turpin,"Turpin, Mel",M. Turpin,mel-turpin,1960-12-28T00:00:00,Kentucky,USA,Kentucky/USA,6-11,240.0,5,50.0,Center,Inactive,N,1610612739,Cavaliers,CLE,cavaliers,Cleveland,HISTADD_mel_turpin,1984.0,1989.0,N,Y,Y,1984,1,6,N
926,Alvin,Robertson,Alvin Robertson,"Robertson, Alvin",A. Robertson,alvin-robertson,1962-07-22T00:00:00,Arkansas,USA,Arkansas/USA,6-4,208.0,10,7.0,Guard,Inactive,N,1610612759,Spurs,SAS,spurs,San Antonio,alvin_robertson,1984.0,1995.0,N,Y,Y,1984,1,7,N
76834,Lancaster,Gordon,Lancaster Gordon,"Gordon, Lancaster",L. Gordon,lancaster-gordon,1962-06-24T00:00:00,Louisville,USA,Louisville/USA,6-3,185.0,4,4.0,Guard,Inactive,N,1610612746,Clippers,LAC,clippers,Los Angeles,HISTADD_lancaster_gordon,1984.0,1987.0,N,Y,Y,1984,1,8,N
901,Otis,Thorpe,Otis Thorpe,"Thorpe, Otis",O. Thorpe,otis-thorpe,1962-08-05T00:00:00,Providence,USA,Providence/USA,6-10,248.0,17,52.0,Center-Forward,Inactive,N,1610612745,Rockets,HOU,rockets,Houston,otis_thorpe,1984.0,2000.0,N,Y,Y,1984,1,9,N
78611,Leon,Wood,Leon Wood,"Wood, Leon",L. Wood,leon-wood,1962-03-25T00:00:00,California State-Fullerton,USA,California State-Fullerton/USA,6-3,185.0,6,,Guard,Inactive,N,1610612751,Nets,NJN,nets,New Jersey,HISTADD_leon_wood,1984.0,1990.0,N,Y,Y,1984,1,10,N
121,Patrick,Ewing,Patrick Ewing,"Ewing, Patrick",P. Ewing,patrick-ewing,1962-08-05T00:00:00,Georgetown,Jamaica,Georgetown/Jamaica,7-0,255.0,17,33.0,Center,Inactive,N,1610612752,Knicks,NYK,knicks,New York,patrick_ewing,1985.0,2001.0,N,Y,Y,1985,1,1,Y
47,Wayman,Tisdale,Wayman Tisdale,"Tisdale, Wayman",W. Tisdale,wayman-tisdale,1964-06-09T00:00:00,Oklahoma,USA,Oklahoma/USA,6-9,260.0,12,23.0,Forward,Inactive,N,1610612758,Kings,SAC,kings,Sacramento,wayman_tisdale,1985.0,1996.0,N,Y,Y,1985,1,2,N
104,Benoit,Benjamin,Benoit Benjamin,"Benjamin, Benoit",B. Benjamin,benoit-benjamin,1964-11-22T00:00:00,Creighton,USA,Creighton/USA,7-0,250.0,15,,Center,Inactive,N,0,,,,,benoit_benjamin,1985.0,1999.0,N,Y,Y,1985,1,3,N
1365,Xavier,McDaniel,Xavier McDaniel,"McDaniel, Xavier",X. McDaniel,xavier-mcdaniel,1963-06-04T00:00:00,Wichita State,USA,Wichita State/USA,6-7,205.0,12,,Forward,Inactive,N,0,,,,,xavier_mcdaniel,1985.0,1997.0,N,Y,Y,1985,1,4,N
402,Jon,Koncak,Jon Koncak,"Koncak, Jon",J. Koncak,jon-koncak,1963-05-17T00:00:00,Southern Methodist,USA,Southern Methodist/USA,7-0,250.0,11,45.0,Center,Inactive,N,1610612737,Hawks,ATL,hawks,Atlanta,jon_koncak,1985.0,1995.0,N,Y,Y,1985,1,5,N
170,Joe,Kleine,Joe Kleine,"Kleine, Joe",J. Kleine,joe-kleine,1962-01-04T00:00:00,Arkansas,USA,Arkansas/USA,6-11,255.0,15,,Center,Inactive,N,0,,,,,joe_kleine,1985.0,1999.0,N,Y,Y,1985,1,6,N
904,Chris,Mullin,Chris Mullin,"Mullin, Chris",C. Mullin,chris-mullin,1963-07-30T00:00:00,St. John's (NY),USA,St. John's (NY)/USA,,,16,17.0,Forward,Inactive,N,0,,,,,chris_mullin,1985.0,2000.0,N,Y,Y,1985,1,7,N
96,Detlef,Schrempf,Detlef Schrempf,"Schrempf, Detlef",D. Schrempf,detlef-schrempf,1963-01-21T00:00:00,Washington,USA,Washington/USA,6-10,235.0,16,12.0,Forward,Inactive,N,1610612760,SuperSonics,SEA,thunder,Seattle,detlef_schrempf,1985.0,2000.0,N,Y,Y,1985,1,8,N
891,Charles,Oakley,Charles Oakley,"Oakley, Charles",C. Oakley,charles-oakley,1963-12-18T00:00:00,Virginia Union,USA,Virginia Union/USA,6-9,245.0,19,33.0,Forward,Inactive,N,1610612752,Knicks,NYK,knicks,New York,charles_oakley,1985.0,2003.0,N,Y,Y,1985,1,9,N
291,Ed,Pinckney,Ed Pinckney,"Pinckney, Ed",E. Pinckney,ed-pinckney,1963-03-27T00:00:00,Villanova,USA,Villanova/USA,6-9,240.0,12,54.0,Forward,Inactive,N,1610612738,Celtics,BOS,celtics,Boston,ed_pinckney,1985.0,1996.0,N,Y,Y,1985,1,10,N
921,Brad,Daugherty,Brad Daugherty,"Daugherty, Brad",B. Daugherty,brad-daugherty,1965-10-19T00:00:00,North Carolina,USA,North Carolina/USA,7-0,245.0,8,43.0,Center,Inactive,N,1610612739,Cavaliers,CLE,cavaliers,Cleveland,brad_daugherty,1986.0,1993.0,N,Y,Y,1986,1,1,N
83362,Len,Bias,Len Bias,"Bias, Len",L. Bias,len-bias,,Maryland,,Maryland,,,0,,,Inactive,N,0,,,,,,,,N,N,N,1986,1,2,N
78463,Chris,Washburn,Chris Washburn,"Washburn, Chris",C. Washburn,chris-washburn,1965-05-13T00:00:00,North Carolina State,USA,North Carolina State/USA,6-11,225.0,2,50.0,Center,Inactive,N,1610612744,Warriors,GOS,warriors,Golden State,HISTADD_chris_washburn,1986.0,1987.0,N,Y,Y,1986,1,3,N
